date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:07	1828/1828	---MCZ	200	added ('OK')	text/plain	date:Mon,%2002%20Dec%202019%2018:30:00%20GMT	https://www.google.com/robots.txt		(from )
15:24:07	76395/76395	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202019%2001:00:00%20GMT	https://www.google.com/gmail/about/	E:/adidasHackathon/login/www.google.com/gmail/about/index.html	(from )
15:24:08	175381/175381	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/static/images/share-facebook.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/static/images/share-facebook.jpg	(from https://www.google.com/gmail/about/)
15:24:08	10031/10031	---M--	200	added ('OK')	image/png	etag:%22bf09e67fa687647c9709d92c1132a399%22	https://storage.googleapis.com/operating-anagram-8280/apple-touch-icon.png	E:/adidasHackathon/login/storage.googleapis.com/operating-anagram-8280/apple-touch-icon.png	(from https://www.google.com/gmail/about/)
15:24:08	191602/191602	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/static/images/share-twitter.jpg	E:/adidasHackathon/login/www.google.com/gmail/about/static/images/share-twitter.jpg	(from https://www.google.com/gmail/about/)
15:24:09	2496/2496	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://www.gstatic.com/images/branding/product/2x/gmail_32dp.png	E:/adidasHackathon/login/www.gstatic.com/images/branding/product/2x/gmail_32dp.png	(from https://www.google.com/gmail/about/)
15:24:09	1228/1228	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://www.gstatic.com/images/branding/product/2x/gmail_16dp.png	E:/adidasHackathon/login/www.gstatic.com/images/branding/product/2x/gmail_16dp.png	(from https://www.google.com/gmail/about/)
15:24:10	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/static/favicon.ico?cache=96bf8f6	E:/adidasHackathon/login/www.google.com/gmail/about/static/favicon7c75.ico	(from https://www.google.com/gmail/about/)
15:24:14	201808/201808	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Dec%202019%2000:30:00%20GMT	https://www.google.com/gmail/about/static/css/index.min.css?cache=056a8ba	E:/adidasHackathon/login/www.google.com/gmail/about/static/css/index.min89b7.css	(from https://www.google.com/gmail/about/)
15:24:14	35170/35170	---M--	200	added ('OK')	text/javascript	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/static/js/detect.min.js?cache=536ff71	E:/adidasHackathon/login/www.google.com/gmail/about/static/js/detect.min3bcf.js	(from https://www.google.com/gmail/about/)
15:24:14	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	E:/adidasHackathon/login/www.google-analytics.com/analytics.js	(from https://www.google.com/gmail/about/)
15:24:15	24797/24797	---M--	200	added ('OK')	text/javascript	date:Wed,%2003%20Jul%202019%2006:30:00%20GMT	https://www.google.com/gmail/about/static/js/autotrack.min.js?cache=7486e60	E:/adidasHackathon/login/www.google.com/gmail/about/static/js/autotrack.mind61d.js	(from https://www.google.com/gmail/about/)
15:24:15	6077/6077	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/static/images/logo-gmail.png?cache=3218fbf	E:/adidasHackathon/login/www.google.com/gmail/about/static/images/logo-gmaild31d.png	(from https://www.google.com/gmail/about/)
15:24:16	12156/12156	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202019%2002:00:00%20GMT	https://www.google.com/gmail/about/static/images/shadow.png?cache=0a44327	E:/adidasHackathon/login/www.google.com/gmail/about/static/images/shadowb932.png	(from https://www.google.com/gmail/about/)
15:24:18	4074/4074	---MC-	200	added ('OK')	text/javascript	date:Tue,%2029%20Aug%202017%2018:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular-touch.min.js	E:/adidasHackathon/login/ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular-touch.min.js	(from https://www.google.com/gmail/about/)
